"2021-05-14 15:07:38.905","2021-05-14 15:07:38,905 ipaddr - - ""DELETE /account?accountid=50 HTTP/1.1"" 200 - 45 [dc41c0c6-bc97-493d-9a77-6adc3ae4540a] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","AccountService"
"2021-05-14 15:07:38.467","2021-05-14 15:07:38,467 ipaddr - - ""POST /account/delete HTTP/1.1"" 200 - 45 [dc41c0c6-bc97-493d-9a77-6adc3ae4540a] ""Java-SDK""","FrontService"
"2021-05-14 15:07:38.392","2021-05-14 15:07:38,392 ipaddr - - ""PUT /account?accountid=110 HTTP/1.1"" 200 - 45 [52ffeb4b-2245-436f-b9c3-00d01c2648e0] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","AccountService"
"2021-05-14 15:07:37.983","2021-05-14 15:07:37,983 ipaddr - - ""POST /account/update HTTP/1.1"" 200 - 45 [52ffeb4b-2245-436f-b9c3-00d01c2648e0] ""Java-SDK""","FrontService"
"2021-05-14 15:07:37.569","2021-05-14 15:07:37,569 ipaddr - - ""GET /account?accountid=48 HTTP/1.1"" 200 - 45 [537964a9-f2a5-4cdc-9d6c-7a600d43d763] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","AccountService"
"2021-05-14 15:07:37.281","2021-05-14 15:07:37,281 ipaddr - - ""POST /login HTTP/1.1"" 200 - 45 [537964a9-f2a5-4cdc-9d6c-7a600d43d763] ""Java-SDK""","FrontService"
"2021-05-14 15:07:37.266","2021-05-14 15:07:37,266 ipaddr - - ""POST /account HTTP/1.1"" 200 - 45 [64b002b1-17fe-4aaf-be36-695ecef2ed09] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","AccountService"
"2021-05-14 15:07:37.102","2021-05-14 15:07:37,102 ipaddr - - ""POST /account/new HTTP/1.1"" 200 - 45 [64b002b1-17fe-4aaf-be36-695ecef2ed09] ""Java-SDK""","FrontService"
"2021-05-14 15:07:37.069","2021-05-14 15:07:37,069 ipaddr - - ""POST /pay HTTP/1.1"" 200 - 45 [f980d66f-40fa-49d7-9a5c-cefc906e428a] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","PaymentService"
"2021-05-14 15:07:37.042","2021-05-14 15:07:37,042 ipaddr - - ""POST /order HTTP/1.1"" 200 - 45 [f980d66f-40fa-49d7-9a5c-cefc906e428a] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","ShippingService"
"2021-05-14 15:07:36.984","2021-05-14 15:07:36,984 ipaddr - - ""POST /order HTTP/1.1"" 200 - 45 [f980d66f-40fa-49d7-9a5c-cefc906e428a] ""Java-SDK""","FrontService"
"2021-05-14 15:07:36.609","2021-05-14 15:07:36,609 ipaddr - - ""GET /adress?accountid=140 HTTP/1.1"" 200 - 45 [7883f5c8-114a-4f58-8d46-595d86ced1c3] ""Java-SDK""","AccountService"
"2021-05-14 15:07:36.298","2021-05-14 15:07:36,298 ipaddr - - ""POST /shipment HTTP/1.1"" 200 - 45 [7883f5c8-114a-4f58-8d46-595d86ced1c3] ""Java-SDK""","ShippingService"
"2021-05-14 15:07:36.241","2021-05-14 15:07:36,241 ipaddr - - ""POST /shipment/calculate HTTP/1.1"" 200 - 45 [7883f5c8-114a-4f58-8d46-595d86ced1c3] ""Apache-HttpClient/4.5.10 (Java/11.0.9)""","FrontService"
"2021-05-14 15:07:35.742","2021-05-14 15:07:35,742 ipaddr - - ""GET /discount?accountid=71 HTTP/1.1"" 200 - 45 [56fe26ac-bed2-4f4e-900f-77ef7309eb72] ""Java-SDK""","AccountService"
